url_count,email_count,num_count,word_count,char_count,url_density,num_density,avg_word_length,exclamation_count,question_count,punct_count,urgency_count,financial_count,action_count,threat_count,caps_ratio,urgency_density,unique_word_ratio,sentence_count,avg_sentence_length,placeholder_ratio,digit_char_ratio,label
0.0,0.0,0.007612833061446438,0.02643530419880034,0.02141225932159593,0.0,0.03174573055028463,0.05352227421393367,0.0,0.0,0.00504179953460312,0.028089887640449437,0.02127659574468085,0.008695652173913044,0.022222222222222223,0.0,0.03225806451612903,0.41992231618963655,0.021634615384615384,0.011811652035115722,0.03174573055028463,0.021405284611115398,1
0.0,0.0,0.002175095160413268,0.005055698371893744,0.004902611234103178,0.0,0.04647544968400584,0.07143003333005109,0.0,0.0006273525721455458,0.0010773075928639146,0.0,0.00303951367781155,0.008695652173913044,0.0,0.06976744186046512,0.0,0.6910812966243445,0.004807692307692308,0.009098164405426974,0.04647544968400584,0.03580039121139062,1
0.0,0.0,0.003806416530723219,0.017566409597257925,0.014093261353874948,0.0,0.02382851445663011,0.05276750703262639,0.00966183574879227,0.0003136762860727729,0.005386537964319573,0.011235955056179775,0.0121580547112462,0.0,0.0,0.0,0.01937046004842615,0.5083298354296631,0.04246794871794872,0.003714049244775501,0.02382851445663011,0.01575146356515019,1
0.0,0.047619047619047616,0.0,0.00728363324764353,0.006117788377598838,0.0,0.0,0.057224340152491976,0.004830917874396135,0.0003136762860727729,0.0009480306817202448,0.011235955056179775,0.0060790273556231,0.043478260869565216,0.022222222222222223,0.10526315789473684,0.046242774566473986,0.5795501103251506,0.010416666666666666,0.006344772545889864,0.008126487589255356,0.0,1
0.0,0.0,0.004350190320826536,0.03616109682947729,0.030658779654861756,0.0,0.013278699909715953,0.057634584534634034,0.007246376811594202,0.0018820577164366374,0.0045246918900284415,0.011235955056179775,0.00911854103343465,0.008695652173913044,0.044444444444444446,0.0,0.009445100354191263,0.4406066722657049,0.02724358974358974,0.012960893854748603,0.013278699909715953,0.006853241062075642,0
0.0,0.0,0.000543773790103317,0.006169665809768637,0.0048537247972958815,0.0,0.009563825530212086,0.05157570427613402,0.016908212560386472,0.0003136762860727729,0.0008187537705765751,0.0,0.0,0.0,0.0,0.0,0.0,0.6838680818185514,0.00641025641025641,0.00856610800744879,0.009563825530212086,0.004967807095063755,1
0.0009572431397574985,0.0,0.001631321370309951,0.006169665809768637,0.0058174859800683015,0.061224489795918366,0.028691476590636256,0.06845163130806618,0.004830917874396135,0.0,0.0018960613634404896,0.011235955056179775,0.0182370820668693,0.008695652173913044,0.044444444444444446,0.06692913385826772,0.05442176870748299,0.6976129478264405,0.007211538461538461,0.0076536312849162,0.05738295318127251,0.025136599555124622,1
0.0,0.0,0.000543773790103317,0.009254498714652956,0.007835797442540978,0.0,0.006419554123019071,0.0578392630583848,0.0024154589371980675,0.0,0.0008187537705765751,0.0,0.00303951367781155,0.0,0.0,0.0,0.0,0.6724767887572186,0.004807692307692308,0.016919393455706304,0.006419554123019071,0.0031054246283453847,1
0.0,0.0,0.001631321370309951,0.010325621251071122,0.004686114156813722,0.0,0.017285438765670205,0.014999167248621246,0.0024154589371980675,0.0009410288582183187,0.0073687839351891755,0.0,0.0,0.0,0.0,0.0,0.0,0.2795774943651915,0.008012820512820512,0.011833417978669375,0.017285438765670205,0.015558997001548653,1
0.0,0.0,0.02501359434475258,0.010454155955441302,0.0072282088707931475,0.0,0.26182424386758757,0.04087167498462507,0.0,0.0,0.004309230371455659,0.0056179775280898875,0.0,0.0,0.0,0.0,0.016194331983805668,0.2556069935727448,0.011217948717948716,0.008640595903165734,0.26182424386758757,0.24870084269662923,0
